,vaga,empresa,localização,salário,requisitos
154,+1 local,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in Alphaville, SP+1 local",R$ 4.000 - R$ 5.000 por mês,"Apoiar as atividades de treinamento e desenvolvimento de novas redes, acompanhar novas unidades no período de Onboarding, interagir com o Marketing (interno e…"
155,Vagas de emprego: IdealHKS,IdealHKS,"Home office in São Paulo, SP",,"Como parte da rede Hill + Knowlton, um ideal da H + K Strategies, está inovando ou futuro das relações públicas."
156,Vagas de emprego: Grhats Consultoria em Recursos Humanos,Grhats Consultoria em Recursos Humanos,"São Paulo, SP",R$ 4.500 - R$ 5.000 por mês,"Experiência na área de análise de dados.Ensino superior completo em Matemática ou Estatística, ou Física ou Engenharias ou Ciência da Computação;"
157,Vagas de emprego: Ecoscar serviços de suporte em cartoes inteligentes ltda,Ecoscar serviços de suporte em cartoes...,"Home office temporário in Pinheiros, SP",R$ 1.250 por mês,"Conhecimentos básicos / intermediários em banco de dados SQL.De segunda à sexta, das 9:00 às 18:00.Ensino Superior cursando ou interrompido (Preferencial)."
158,Vagas de emprego: TIXIT,TIXIT,"São Paulo, SP",R$ 3.200 por mês,"Instalar e configurar Sistemas Operacionais (Windows, Linux,), programas de e-mail, antivírus, Pacote Office, etc."
159,Vagas de emprego: Athon Energia,Athon Energia,"São Paulo, SP",,"Conhecimentos em base de dados ou SQL, ACCESS.Analise de Base de dados em SQL e indicadores de geração das usinas."
160,CCEE,CCEE,"Home office in São Paulo, SP",,Pessoas com deficiência são bem-vindas em nosso time.Será responsável por atender os chamados internos e externos de 1º nível e 2º(presencial ou remoto) de…
161,Share RH,Share RH,"São Paulo, SP",,Extrair dados para explorar e responder perguntas feitas pelas áreas;Conhecimento em SQL e Power BI;Gosto por operacionalizar o trabalho da melhor forma…
162,Vagas de emprego: dr.consulta - CORPORATIVO,dr.consulta - CORPORATIVO,"São Paulo, SP",,Realizar alinhamentos médicos referente aos indicadores de qualidade de atendimento;
163,Vagas de emprego: Valemobi,Valemobi,"São Paulo, SP",,A Empresa O TradeMap é a maior e mais completa Fintech brasileira de investimentos com o objetivo de revolucionar o mercado financeiro através da…
164,Itaú,Itaú,"São Paulo, SP",,Processamento de operações que integram nas carteiras;
