,vaga,empresa,localização,salário,requisitos,job_url
210,Analista de Planejamento Estratégico JR,Alelo,"Home office in Barueri, SP",,"Estamos, pelo oitavo ano consecutivo, entre as 150 melhores empresas para se trabalhar.Porque o reconhecimento das conquistas individuais é bom, mas reconhecer…",
211,Analista Administrativo Jr - Processo Seletivo Externo,Duratex,"São Paulo, SP",,"O nascimento da Hydra é marcado pela Inovação.A Portinari é a única marca brasileira do setor que pratica sustentabilidade com certificação LEED Compliance,…",
212,Analista de Telecomunicações - Global Centro SP,Global Empregos,"São Paulo, SP",,"Analista de Telecomunicações - Global Centro SP - Analista de Telecomunicações - CLT - 01 - 2.000,00 - São Paulo, SP, Brasil - Desejável Ensino médio completo …",
213,Analista Financeiro em Eventos - São Paulo,COPASTUR VIAGENS E TURISMO,"Home office in São Paulo, SP",,VT - o valor necessário para a sua vinda ao trabalho;Allya - descontos diversos para o seu salário render mais;,
214,Analista Serviço Cliente Junior,Vem Pra Vivo,"São Paulo, SP",,"Alimentar a base de conhecimento de erros conhecidos, inserindo todos os dados analisados no MIRA;Dir. Serviço ao Cliente Centralizado.",
215,Analista de Suporte Windows Pleno,Telium,"São Paulo, SP",,Ser o mais completo provedor de soluções de internet do Brasil e reconhecido pela excelência no atendimento aos clientes.,
216,Analista de Negócios - LGPD,nstech,"Home office in São Paulo, SP",,A Praxio está em constante crescimento no mercado e gostaríamos de trazer novas pessoas para nosso time.Visão analítica para identificar possíveis riscos ou…,
217,Analista de Serviço ao Cliente,Emede,"São Paulo, SP",,Conhecimento em office ou similar aos sistemas informatizados;O Grupo EMEDE atua nos mais variados segmentos na área da saúde.,
218,Analista de Inventário,Penske,"São Paulo, SP+1 local",,"Superior em Administração, Logística, Gestão ou áreas afins.",
219,Analista de Dados (PCD),Itaú Unibanco,"São Paulo, SP",,Vale Refeição (Restaurantes) / Vale Alimentação (Supermercados).Descontos exclusivos em nossos produtos financeiros.,
220,Analista de Qualidade de Dados,Keyrus Brazil,"São Paulo, SP",,"Experiência framework DAMA DMBOK - Governança de Dados Conheciemnto Arquitetura MDM - Master Data Management Conhecimentos modelagem de dados conceitual, logica…",
221,4811 - Analista de Produção - (SUN/Solaris),GLOBAL HITSS,"São Paulo, SP",,Experiência na plataforma SUN/Solaris.,
222,Analista de Dados,Vagas MRM Brasil,"Hybrid remote in São Paulo, SP",,"Atuamos na aquisição, modelagem, armazenamento, processamento e distribuição dos dados através de reports e dashboards.O que o candidato vai fazer na área.",
223,Analista de Compliance Legal Pleno,Duratex,"São Paulo, SP",,"Desenvolver e aplicar treinamentos aos colaboradores sobre compliance, integridade e Código de Conduta da Dexco;",
224,Analista de Telecom Sênior - Dados,Digisystem,"São Paulo, SP",,Redes e Segurança de Redes Conhecimentos Telecom para Dados CISCO CERTIFIED NETWORK ASSOCIATE - (CCNA) CISCO CERTIFIED DESIGN ASSOCIATE - (CCDA) CISCO CERTIFIED…,
