,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
0,,A Gente Faz Terceirização,"São Paulo, SP",R$ 2.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"REQUISITOS: HABILIDADE EM DASHBOARD TRATAMENTO DE INFORMAÇÕES CONHECIMENTO EM EXCEL, POWER BI E PYTHON PACOTE OFFICE Atividades desenvolvidas: *…",
1,,CIEE One,Brasil,R$ 3.000 por mês,Postedhá 2 dias,2022-05-01,Descrição da vaga: Desde a década de 90 por conta da crescente preocupação das autoridades com a estabilidade do sistema financeiro começaram a surgir de…,
2,Recruta Simples,Recruta Simples,"São Paulo, SP",R$ 1.500 por mês,Postedhá 30+ dias,2022-05-01,"Noções de JS (jQuery, BootStrap) e Angular JS;Boa comunicação verbal e escrita;",
3,Anbima,Anbima,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Noções de programação (VBA, Python, SQL, Matlab).Bolsa estágio compatível com o mercado.",
4,GLOBAL HITSS,GLOBAL HITSS,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,"Somos uma empresa do grupo América Móvil, com mais de 30 anos de experiência no mercado de soluções digitais e serviços de TI na América Latina e Estados…",
5,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,VBA e JavaScript serão considerados diferenciais.Capacidade de trabalhar em um ambiente multifuncional e colaborativo.,
6,,Jobbol,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Desenvolvimento WEB considerando as seguintes tecnologias: Python, React, HTML, JavaScript e CSS.Modelagem de banco de dados relacionais e não relacionais.",
7,Vagas de emprego: Innolevels,Innolevels,"São Paulo, SP",R$ 6.500 - R$ 10.000 por mês,Postedhá 2 dias,2022-05-01,Automação de rotinas a frameworks completos de desenvolvimento web.,
8,Vagas de emprego: LLIEGE,LLIEGE,"São Paulo, SP",R$ 6.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Atuar com programação Fullstack, Django, consumo de APIS REST, bancos de dados, JavaScript, jQuery, HTML e CSS.",
9,Vagas de emprego: Orangefox,Orangefox,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Experiência comprovada com o mínimo de 2 (dois) anos atuando em projetos;Sólidos conhecimentos em Python, SQL, Github e Excel;",
10,Vagas de emprego: RUFINO HR CONSULTING,RUFINO HR CONSULTING,"Home office in São Paulo, SP",R$ 3.500 por mês,Postedhá 3 dias,2022-05-01,"Pacote office avançado, BI intermediário, SAS básico, Python intermediário e banco de dados intermediário.Local: * Home Office, com disponibilidade de ir até a…",
11,Vagas de emprego: Capim,Capim,"Home office in São Paulo, SP",R$ 5.000 - R$ 10.000 por mês,EmployerAtiva 8 dias atrás,2022-05-01,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Identificar desafios e oportunidades de negócio e usar ferramentas…,
12,Liv Up,Liv Up,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de Machine Learning e otimização de restrições para encantar nossos…",
13,Vagas de emprego: 2RP Net,2RP Net,"Home office in São Paulo, SP",,Postedhá 30 dias,2022-05-01,"Alguma linguagem de programação (C, Java, C#, PHP, etc);Outras linguagens e tecnologias (PHP, C#, Java, Python, Node.js, Golang, etc);",
14,Iterative,Iterative,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Conhecimento técnico avançado em desenvolvimento (Python);,
15,Analista de B.I,Buonny,"São Paulo, SP",,Postedhá 11 dias,2022-05-01,"Estruturação de base de dados para análise comerciais;Conhecimento de Big Data (Spark, Cloudera, Hadoop) e Python;Modelagem de dados SQL/Teradata, Big Data;",https://www.br.indeed.com/rc/clk?jk=e9c8faad69d7ee3b&fccid=7edbf2005fd2eff0&vjs=3
16,Desenvolvedor Web,Evoi Publicidade,"São Paulo, SP",R$ 2.100 por mês,EmployerAtiva 2 dias atrás,2022-05-01,Colaborar com automação de processos em plataformas de marketing.,https://www.br.indeed.com/company/Evoi-Publicidade/jobs/Desenvolvedor-Web-63684da59c48070e?fccid=37fc7b0ef9000391&vjs=3
17,ANALISTA DE DADOS JR,BANCO BBC Digital,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,Desejável experiência em construção de Dashboards em PowerBI.,https://www.br.indeed.com/rc/clk?jk=300aa648d20b4e04&fccid=dd616958bd9ddc12&vjs=3
18,Partner Operations Assistant,Gympass,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Execution of daily work, involving the execution of Python scripts, creation, and maintenance of SQL queries, editing Partners profiles on the CRM/Salesforce.",https://www.br.indeed.com/rc/clk?jk=1135ba8dbeb60c3b&fccid=ff4e5bc9a5a00195&vjs=3
19,Software Developer - Python,IBM,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",https://www.br.indeed.com/rc/clk?jk=74a1ed6abe2f5801&fccid=de71a49b535e21cb&vjs=3
20,Pessoa Desenvolvedora de Back End Jr,Enext,"Home office in São Paulo, SP",,Postedhá 2 dias,2022-05-01,"Configurar serviços (VM, banco de dados, lambda) simples em diferentes clouds como AWS, Azure e Google Cloud Platform;",https://www.br.indeed.com/rc/clk?jk=d7e3cf3fce67abfa&fccid=92e1e2d245f4bdae&vjs=3
21,Data Scientist Jr,Remessa Online,"Home office in São Paulo, SP",,Postedhá 12 dias,2022-05-01,"Como será o dia a dia.Desenvolver decisores no produto, compliance, e CRM por meio de modelagem estatística aplicada (Sistemas de detecção de fraude, Score de…",https://www.br.indeed.com/rc/clk?jk=4d916f359d787d01&fccid=094d6ef878bffdad&vjs=3
22,[Python] - Software Engineer,Revelo Network,"Home office in São Paulo, SP",,EmployerAtiva 3 dias atrás,2022-05-01,"Estamos em busca de um profissional de Software de Engineer Requisitos Técnicos Python, Aws, Postgresql Requisitos técnicos obrigatórios: Inglês Fluente +4…",https://www.br.indeed.com/company/Revelo-Network/jobs/-378e98e9fe4d8c3f?fccid=17066a83db00e0c9&vjs=3
23,"Intern, Forensic Investigations and Intelligence",Kroll,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Tecnologia da Informação, Análise de Sistemas, Banco de Dados Data Science, Big Data & BI, Tecnologia em Banco de Dados, ou áreas correlatas.",https://www.br.indeed.com/rc/clk?jk=b0bfbd14aa7e22be&fccid=2991547aff717aed&vjs=3
24,Estágio (Indicadores),MetLife,"São Paulo, SP",,Postedhá 18 dias,2022-05-01,"Elaboração dos indicadores da área;Principais responsabilidades ou desafios: (Escreva no mínimo 5).Acompanhamento de sinistros da carteira de Vida, AP e…",https://www.br.indeed.com/rc/clk?jk=fb14d100efa19eeb&fccid=503cbddf55bc6990&vjs=3
25,Analista de Dados Comercial JR,Shopee,"São Paulo, SP",,Postedhá 25 dias,2022-05-01,Garantir que as métricas dos produtos andem alinhadas com os objetivos da empresa.,https://www.br.indeed.com/rc/clk?jk=49b0b30849f44fc9&fccid=0b476c4a7add47fe&vjs=3
26,Analista de Service Desk Júnior,CCEE,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,Pessoas com deficiência são bem-vindas em nosso time.Será responsável por atender os chamados internos e externos de 1º nível e 2º(presencial ou remoto) de…,https://www.br.indeed.com/rc/clk?jk=fa74837114ca7b3f&fccid=8ccad45982a6a6a5&vjs=3
27,Estágio Machine Learning,2RP Net,"Home office in São Paulo, SP",,Postedhá 30 dias,2022-05-01,Desenvolver processos de ML Engineering;Aprender a monitor a qualidade de modelos de ML usando técnicas estatísticas avançadas;,https://www.br.indeed.com/rc/clk?jk=4be0ff5b1688df62&fccid=7f1b33b834a2ecf0&vjs=3
28,CIENTISTA DE DADOS,Flix,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Conhecimento em linguagens de programação de análise de dados (R, Python, Hadoop e SQL);Visualização de Dados; Data Mining, Machine Learning;",https://www.br.indeed.com/rc/clk?jk=c521e8ca63f3d63c&fccid=b7505b3fcef72635&vjs=3
29,Data Engineer Python| Collibra,CAPCO,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Expertise técnica em modelos de dados, desenvolvimento de design de banco de dados, mineração de dados e técnicas de segmentação;",https://www.br.indeed.com/rc/clk?jk=f24c68e7a896ad82&fccid=c2a63affe8751868&vjs=3
30,Vagas de emprego: Clearsale,Clearsale,"Home office in São Paulo, SP",,Postedhá 26 dias,2022-05-01,Tem segurança na tomada de decisões que podem gerar grandes impactos;Sabe trabalhar em equipe (acreditamos muito “nós” ao invés de “eu”);,
