,vaga,empresa,localização,salário,requisitos
187,Líder de Pedagogia I,Digital House Brasil,"Home office in São Paulo, SP",,"Estamos em busca de um profissional que será responsável pelo time de Pedagogia composto por consultores pedagógicos, com o propósito de garantir a qualidade da…"
188,Assistente de Escritório ( Júridico ),OPUS RH,"São Paulo, SP",R$ 1.580 por mês,"EMPRESA Escritório de Advocacia com mais de 10 anos de experiência no mercado, dedicada ao exercício do Direito com lealdade e honestidade, na transparência…"
189,DevSecOps Sênior,Red Pill RH,"São Paulo, SP",,"Mentorar membros do time e de outros squad, atuando como uma referência, contribuindo para desenvolver uma companhia de alto desempenho;"
190,Gerente de TI,Aes Consultoria Em Rh,"São Paulo, SP",R$ 20.000 por mês,Pós- Graduação na área de projetos será um diferencial.Estamos recrutando preferencialmente residentes na Zona Oeste e cidades próximas.
191,Analista de Departamento Pessoal,CONNECTABIL RH,"São Paulo, SP",R$ 3.300 - R$ 3.650 por mês,"Calculo de rescisões com envio de GRRF e seguro desemprego.Entrega de obrigações acessórias (e social, DCTFWEB, DIRF, RAIS, etc.)."
192,Analista de Ponto Eletrônico,GTO RH,"São Paulo, SP",,Experiencia em ponto eletronico e desejável conhecimento em ponto digital.
193,Oficial de Manutenção Predial HVAC,Eterna RH,"São Paulo, SP",R$ 2.298 por mês,Necessário experiência na execução de serviços de manutenção em sistemas de ar condicionado comercial/empresarial; Necessário possuir conhecimento básico de…
194,Concierge Hospitalar Jr para pessoas com deficiência,Inklua Servicos Para Inclusao de Pcd Ltda,"Bela Vista, SP",R$ 2.322 por mês,HORÁRIO: escala 6x1 - 10:00 às 19h.Ensino Superior cursando ou interrompido (Obrigatório).
195,Gerente Comercial,Seven Clínica,"São Paulo, SP",,GERENTE COMERCIAL Responsabilidades e atribuições Gerenciar equipe de vendas; Monitorar o nível de qualidade e satisfações dos clientes; Suporte ao cliente;…
196,ANALISTA ADM RECURSOS HUMANOS JR ( FOPAG),Brasanitas,"São Paulo, SP",,"Profissional que tenha atuado em Folha de Pagamento, conhecendo atividades relacionadas a cálculos de Folha, Férias, Afastamentos, Pensão Alimentícia e…"
197,Analista de Departamento Pessoal Jr,Sinergy RH,"Home office in São Paulo, SP",R$ 2.805 por mês,Manter o cliente informado de todas as ações que estão vinculadas ao cronograma de folha pré- estabelecido.
198,Analista de Customer Service Jr,Novo Tempo Consultoria e RH,"São Paulo, SP",R$ 3.400 - R$ 3.500 por mês,"Monitorar e controlar o ciclo interno do Pedido garantindo o atendimento no prazo definido.Conhecimento de entrada de pedidos, EDI, SFA, OCR."
199,Recepcionista,Malka RH,"Mooca, SP",R$ 1.598 - R$ 1.890 por mês,"*? Contato com clientes/funcionários.* *? Atendimento ao correio, cartório e telefônico PABX* *? Alimentar planilhas.* *? Sistema GVPS (e-mails e Zapsac ) * …"
200,Operador de Extrusora Plástica,Optima RH,"São Bernardo do Campo, SP",,Residir em São Bernardo do Campo ou Fácil acesso a Região. *.
201,Assistente de Secretaria,Malka RH,"Guarulhos, SP",R$ 1.998 - R$ 2.364 por mês,Conhecimento e domínio na área (rotina em geral) Pedido de passagens aéreas e reservas em hotéis Atendimento a reuniões e montagem de apresentações…
202,Operador de empilhadeira Osasco,Efetiva RH,"Osasco, SP",R$ 1.800 - R$ 1.886 por mês,"Ensino fundamental completo com o curso de empilhadeira. Experiência em rotina logística e operação de empilhadeira elétrica e a gás. Residir em Osasco,…"
203,Assistente financeiro,Unic RH,"São Paulo, SP",R$ 3.000 - R$ 3.200 por mês,Passagem anterior em clínica será um diferencial.
204,Supervisor de Inventário,Consultoria STB Recursos Humanos,"Barueri, SP",,Realizar o inventário físico dos ativos fixos nos clientes.Controlar e auditar os ativos físicos realizados no inventário e valida as informações coletadas com…
205,Assistente de Qualidade,Farisco RH,"São Paulo, SP",R$ 2.200 por mês,"\* Experiência com as ferramentas da qualidade (MASP, Ishikawa, PDCA, dentre outras.).\*\*Empresa fica localizada no Jaçanã, necessário ter fácil acesso."
206,Extrusor Balão,Malka RH,"Santo André, SP",R$ 2.500 - R$ 3.000 por mês,Atividades que serão exercidas nessa função: - Operar extrusora monocamada balão com 12 metros de torre e 60cm de diâmetro; - Realizar set up de máquina; -…
207,Auxiliar de Oftalmologia,Farisco RH,"São Paulo, SP",R$ 1.700 por mês,"Pré-triagem - auto refrator, pressão ocular e outros exames oftalmológicos.Para trabalhar na Zona Sul - de 2a. a 6a das 8:00 às 18:00hrs."
208,ajudante geral,Malka RH,"Guarulhos, SP",R$ 1.749 por mês,"09 VAGAS - AJUDANTE GERAL Experiência como aux de produção, ajudante geral ou operador de máquina Local de Trabalho: Guarulhos - SP Contratação: Efetivo…"
209,Business Development Lead (Líder de Desenv. de Negócios - Ve...,Abrace Consultoria em RH e Coaching,"São Paulo, SP",R$ 9.500 - R$ 10.000 por mês,"Definir prioridades, cadência e lógica de distribuição para leads de fluxo inbound e outbound;Trabalhar em estreita colaboração com as lideranças de marketing…"
210,+1 local,Shamar RH,"Zona Central de São Paulo, SP+1 local",R$ 2.000 - R$ 2.500 por mês,"Admissões, férias, rescisões, folha de pagamento, encargos sociais, Caged, Sefip, e-Social, Rais, controle de férias, controle de dissídios coletivos,…"
211,Vagas de emprego: OEmprego,OEmprego,"Mauá, SP",R$ 3.500 por mês,Cargo: Coordenador Administrativo de Laboratório de Análises Clínicas Quantidade: 1 Estado/País: SP - Brasil Cidade: Mauá Descrição: Coordenação e liderança…
212,VERO RH,VERO RH,"São Caetano do Sul, SP",R$ 4.500 por mês,Especificação da Vaga Coordenador de Logística - Efetivo. Necessário Ensino Superior completo. Inglês intermediário. Conhecimento em logística reversa. Com…
213,UnitedHealth Group,UnitedHealth Group,"São Paulo, SP",,"Superior Completo em Administração, Gestão de RH ou áreas correlatas;Pós-graduação/MBA na área como diferencial;"
214,Scania Latin America,Scania Latin America,"Hybrid remote in São Bernardo do Campo, SP",,"Academia, Scania Clube com diversos serviços, ambulatório médico e odontológico no local;Fortalecer o entendimento e a prática das diretrizes, procedimentos e…"
215,Vagas de emprego: Malka RH,Malka RH,"Guarulhos, SP",R$ 3.300 por mês,Participar de instalação e alteração de layout no setor administrativo;
216,Vagas de emprego: Malka RH,Malka RH,"São Caetano do Sul, SP",R$ 2.000 - R$ 3.500 por mês,Irá coordenar as equipes para a produção da massa de envase;
217,Vagas de emprego: LMA CONTABILIDADE,LMA CONTABILIDADE,"São Paulo, SP",R$ 3.800 por mês,Paulista onde será o local de trabalho (presencial);Abrirá e fechará o escritório todos os dias (ser a primeira pessoa a chegar e a última a sair);
218,Vagas de emprego: JBC Consultoria de RH,JBC Consultoria de RH,"São Paulo, SP",R$ 1.192 - R$ 2.391 por mês,"Apoio na área comercial da empresa, realizando ligações, contato com prospects, agendamento de reuniões de apresentação, envio de propostas, follow up, pós…"
219,Vagas de emprego: Malka RH,Malka RH,"São Paulo, SP",R$ 1.700 - R$ 1.800 por mês,"Experiência em ADSL, VDSL, FTTH, conhecimento em elétrica e fibra óptica, são instalações até o poste e instalações até a casa do cliente. necessário CNH…"
220,Vagas de emprego: Alloy Mit,Alloy Mit,"São Paulo, SP",,"Realizar a conferência e entrega das atividades de Departamento Pessoal, bem como: DARF, DIRF, Ponto Eletrônico, Folha de Pagamento, Benefícios, Admissão,…"
221,Alper Seguros,Alper Seguros,"Barueri, SP",,"Para proteger tudo que mais importa é preciso ter ao seu lado pessoas em que você possa confiar.Temos o certificado GPTW, o que reforça o nosso comprometimento…"
222,Vagas de emprego: Consultoria Elias Arruda Executives,Consultoria Elias Arruda Executives,"Barueri, SP",R$ 4.000 - R$ 4.500 por mês,§ Gestão da área de Departamento Pessoal da empresa.§ Elaboração de manuais da área;§ Conhecimento do ERP TOTVS será considerado um diferencial;
223,Banco PIne,Banco PIne,"Hybrid remote in São Paulo, SP",,2 Desenvolvedores full stack Junior.2 Desenvolvedores full stack Pleno.Salário compatível com o mercado (Regime CLT).Participação nos lucros ou resultados.
224,Vagas de emprego: Qualitá RH,Qualitá RH,"Home office in São Paulo, SP",,"Atendimento pós-venda dos pacientes, para fidelização através do relacionamento;Experiência anterior com atendimento pós venda;"
