,vaga,empresa,localização,salário,requisitos
122,Analista de QA,TEGRA LTDA,"Home office in São Paulo, SP",,Trabalhamos juntos aos nossos clientes para direcionar seus investimentos para obter o melhor resultado.Desenhar casos de teste - Implementar artefatos de…
123,Desenvolvedor de Sistemas III - Berrini SP,Atento Brasil,"São Paulo, SP",R$ 6.500 por mês,"Atuar junto com a equipe desenvolvendo em nossos sistemas na linguagem SQL Server, Python, PHP.Implementar interfaces garantindo a utilização de boas práticas…"
124,DBA My SQL,Innolevels,"São Paulo, SP",R$ 5.000 - R$ 7.000 por mês,"Python para apoio a equipe de desenvolvimento (Intermediário a Avançado).Gerenciamento das instâncias MySQL/MariaDB (monitoramento, tunning, gestão de usuários…"
125,"Data Scientist (Cientista de Dados) - Lisboa, Portugal",Lan RH,"São Paulo, SP",,"Experiência em assuntos de Machine Learning (Redução de ruído, reconhecimento de voz, fonética, síntese de voz, etc);Experiência em SQL, Python, etc;"
126,SOLUTIONS ARCHITECT SENIOR,FS Gestão RH,"São Paulo, SP",R$ 12.000 - R$ 14.000 por mês,"Ter conhecimento em ferramentas de dados (Kafka, airflow, etc);Experiência com a Stack da Azure (microsoft), pois é onde estão centralizadas as soluções da…"
127,ENGENHEIRO DE MACHINE LEARNING JR,Porto Seguro,"São Paulo, SP",,A área é responsável por liderar o uso de dados e a aplicação de soluções de Inteligência Artificial na empresa.
128,Analista de Planejamento de Vendas - Fashion,Shopee,"São Paulo, SP",,"Atuar no tratamento de bases, setups e ferramentas.Já trabalhou com e-commerce ou varejo.Experiência em automatização de reports manuais por VBA/Python/SQL."
129,Cost and Control Analyst - Logistic,Shopee,"São Paulo, SP",,"The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform, to the moment…"
130,Dev Full Stack,2RP Net,"Home office in São Paulo, SP",,"Ü Conhecimento em uma ou mais linguagens (C#, Python, PHP, Java...);Ü Algum conhecimento em frameworks e bibliotecas CSS e JavaScript (Bootstrap, React,…"
131,Estatístico II,Fundação Bradesco,"Osasco, SP",,Microsoft Power BI; (I) imprescindível.Vivência com modelos de aprendizado de máquina (Machine Learning);
132,Estagiário Full Stack,Recruta Simples,"São Paulo, SP",R$ 1.500 por mês,"Noções de JS (jQuery, BootStrap) e Angular JS;Boa comunicação verbal e escrita;"
133,"QA Automation Engineer (Python, Pytest)",Modus Create,"Home office in São Paulo, SP",,You love pinpointing gaps in test coverage and developing plans to fill those gaps.You'll have a primary focus on designing test plans and processes for new…
134,DESENVOLVEDOR RPA - PRESENCIAL/HÍBRIDO,Tactus Contabilidade,"São Bernardo do Campo, SP",,"Buscamos profissionais movidos por desafios, e que estejam alinhados com o nosso propósito no mercado. Somos uma empresa que cresce todos os meses e…"
135,Vagas de emprego: Tactus Contabilidade,Tactus Contabilidade,"São Bernardo do Campo, SP",,"Buscamos profissionais movidos por desafios, e que estejam alinhados com o nosso propósito no mercado. Somos uma empresa que cresce todos os meses e…"
136,Decision Group,Decision Group,"São Paulo, SP",,Experience preparing HLD/LLD with the best architecture available to support customer's requirement.Participating in requirements and design reviews of new…
137,Gympass,Gympass,"São Paulo, SP",,Developing a vision for Connected Health platform.Drive architecture decisions that impact our whole Data privacy product development interactions.
138,Indra,Indra,"São Paulo, SP",,O desenvolvedor será responsável pela análise e programação Big Data de sistemas de instituições financeiras.Desejável conhecimento em shell script e linguagem…
139,Informaker,Informaker,"Home office in Barueri, SP",R$ 2.000 - R$ 3.000 por mês,Monitoramento e relatórios com métricas de CX e relacionamento com os indicadores operacionais e financeiros da empresa.
140,EY,EY,"São Paulo, SP",,"Este grupo de profissionais, dinâmico e talentoso, busca neste momento o candidato certo para integrar o time e desenvolver uma carreira sólida e ascendente."
141,Vagas de emprego: Safira Energia,Safira Energia,"Home office in Barueri, SP",,"Aqui contamos com uma galera visionária e destemida, que vive num movimento constante para sempre fazer mais e melhor, trazendo soluções inteligentes para o…"
142,Syngenta,Syngenta,"São Paulo, SP",,Suportar time de campo com demanda de contratos.Auxiliar no reporte de ações promocionais via SalesForce.Desejável conhecimento em programação (Python).
143,Itaú,Itaú,"São Paulo, SP",,"Queremos ter um pouco da sua também!Conhecimento Pentest incluindo cenário ps-exploração;Conhecimento de Python, Java, Ruby, e Shell scripting;"
144,Vagas de emprego: HR Soul,HR Soul,"São Paulo, SP",,Sólida experiência com desenvolvimento utilizando linguagem Python;Experiência com frameworks Django e Pandas;
145,Vagas de emprego: Jobbol,Jobbol,"Home office in São Paulo, SP",,"Desenvolvimento WEB considerando as seguintes tecnologias: Python, React, HTML, JavaScript e CSS.Modelagem de banco de dados relacionais e não relacionais."
146,Vagas de emprego: marketdata,marketdata,"Home office in São Paulo, SP",,Já conquistamos 10 vezes o título de Agência do Ano em Database Marketing/CRM/Loyalty pela Associação Brasileira de Marketing Direto (ABEMD).
147,Vagas de emprego: tegra,tegra,"Home office in São Paulo, SP",,"Trabalhamos juntos aos nossos clientes para direcionar seus investimentos para obter o melhor resultado.Build/Release Pipelines (CI/CD), dentro do contexto de…"
148,MasterCard,MasterCard,"São Paulo, SP",,Consumers should have full transparency and control of their Financial Data.Finicity expands financial inclusion and increases financial and data literacy.
149,Itaú Unibanco,Itaú Unibanco,"São Paulo, SP",,"Queremos ter um pouco da sua também!Conhecimento Pentest incluindo cenário ps-exploração;Conhecimento de Python, Java, Ruby, e Shell scripting;"
150,Vagas de emprego: Juntos Somos Mais,Juntos Somos Mais,"Home office in São Paulo, SP",,"Você fará parte do time de Tecnologia, da squad de ITOps.O seu time é responsável O seu time é responsável por tratar os incidentes e propor soluções no menor…"
151,Itaú,Itaú,"São Paulo, SP",,Ter uma visão completa do ciclo de vida do dado.Ter uma visão completa dos dados dos bancos sabendo formular hipóteses que olhem para o cliente como um todo.
152,Vagas de emprego: Canonical - Jobs,Canonical - Jobs,"São Paulo, SP",,"Canonical delivers open source software to millions of Linux, Windows and Mac machines through Ubuntu and the wider Canonical ecosystem."
153,Decathlon,Decathlon,"Hybrid remote in São Paulo, SP",,Construir dashboards de CRM com o comportamento dos consumidores;Segmentar o público e fazer extrações de base;Experiência com CRM no varejo e e-commerce;
154,Vagas de emprego: Sparkademy,Sparkademy,"Home office in São Paulo, SP",,"Full-time, Mid-Senior level, Remote.Work with the team to discover, test, build and ship the next generation of new features.Job Types: Full-time, Permanent."
155,Itaú,Itaú,"São Paulo, SP",,"O time faz a atuação no Planejamento Financeiro do Banco de Varejo, aproximadamente metade do resultado do Banco, com participação ativa como parceiro dos…"
156,Porto Seguro,Porto Seguro,"São Paulo, SP",,A área é responsável por liderar o uso de dados e a aplicação de soluções de Inteligência Artificial na empresa.Estes serão explorados no processo seletivo).
157,Accenture,Accenture,"Home office in São Paulo, SP",,"Execução de Pentests Web, APIs, Mobile (Android e iOS) e infraestrutura;Prover recomendações técnicas e remediações aos clientes e desenvolvedores;"
158,Vagas de emprego: Telhanorte - Saint Gobain,Telhanorte - Saint Gobain,"São Paulo, SP",,"Programação avançada em Python (essencial) / R (desejável).Conhecimento em ferramentas de engenharia de dados (Airflow, Kafka, Spark, dbt)."
159,Hotmart,Hotmart,"São Paulo, SP",,O que você precisa saber sobre esta vaga.O nosso time de Prevenção à Fraudes está em busca de uma pessoa analista (Data Analytics) que nos ajude a estabelecer…
160,Nubank,Nubank,"Home office in São Paulo, SP",,"O Nubank foi fundado em 2013 para libertar as pessoas de um sistema financeiro burocrático, lento e ineficiente."
