,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
21,Analista de Desenvolvimento,GRUPO MAIS VALOR,"São Paulo, SP",R$ 3.000 - R$ 6.000 por mês,Postedhá 2 dias,2022-05-06,"NECESSÁRIO: Superior completo ou cursando na área de TI e nível intermediário em javascript, PHP e MySQL.CONHECIMENTO: PHP 7.4, Javascript, HTML, CSS, MySQL …",https://www.br.indeed.com/company/Grupo-Mais-Valor/jobs/Analista-Desenvolvimento-69a2779076b68f1c?fccid=17140619002d0982&vjs=3
22,Desenvolvedor PHP React,Clubedodev,"Home office in Barueri, SP",R$ 3.000 - R$ 8.000 por mês,EmployerAtiva 15 dias atrás,2022-05-06,Conhecimentos em React e React native será diferencial para evolução e promoções futuras.,https://www.br.indeed.com/company/Clubedodev/jobs/Desenvolvedor-PHP-React-f6961518bb3fc8e5?fccid=3eae11ed3cd3f1a4&vjs=3
23,Desenvolvedor Back-End,QuikDev,"Home office in São Paulo, SP",R$ 2.500 - R$ 4.000 por mês,EmployerAtiva 4 dias atrás,2022-05-06,"Determinar o tempo que gastará para realizar cada atividade.- Controle de versões utilizando Git;- JavaScript, API Restfull, Html, CSS;",https://www.br.indeed.com/company/QuikDev/jobs/Desenvolvedor-Back-End-6ce2b4b4622feea4?fccid=3f9a8b7d0b18c69a&vjs=3
24,Dot Net Junior - Vaga Remota,BAXTECH,"São Paulo, SP",R$ 3.000 - R$ 5.000 por mês,EmployerAtiva 1 dia atrás,2022-05-06,"Full Stack, Conhecimentos em C sharp, Javascript, Sql server, Html; CSS.Formação Superior Completa em cursos da área de Tecnologia da Informação.",https://www.br.indeed.com/company/Baxtech/jobs/Dot-Net-Junior-fafff920bfdcae73?fccid=46644f73126273d8&vjs=3
25,Pessoa Desenvolvedora Front-End,Alfa,"Hybrid remote in São Paulo, SP",,Postedhá 18 dias,2022-05-06,Aqui no Alfa estamos sempre em busca de novos talentos para somar ao nosso time que se reúne todos os dias com um único propósito: oferecer as melhores soluções…,https://www.br.indeed.com/rc/clk?jk=6a926215ad19c1dc&fccid=9755681c84ddf713&vjs=3
26,Software Development Engineer II,Amzn Servicos de Varejo do Bra,"São Paulo, SP",,PostedRecém publicada,2022-05-06,"Relevant experience building successful production software systems.Experience with either Java, C++, C#, Python OR Ruby and web technologies (i.e. JavaScript,…",https://www.br.indeed.com/rc/clk?jk=fb7aa265bad6557d&fccid=fe2d21eef233e94a&vjs=3
27,React,Wipro Limited,"São Paulo, SP",,Postedhá 30 dias,2022-05-06,Should have expertise in JQuery and Javascript.Understands technical and functional design requirements and provides efficient client side solutions using HTML…,https://www.br.indeed.com/rc/clk?jk=02004f319fc11863&fccid=8d25321c1defe73f&vjs=3
28,3929 - ANALISTA DE SISTEMAS PL,Sinqia,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-06,"NET PL para compor nosso time e nos ajudar a fazer o mercado financeiro pulsar!NET, C#, SQL Server, oracle, Angular entre outras tecnologias.",https://www.br.indeed.com/rc/clk?jk=1eaeceba2648485b&fccid=83849b17246b3c1e&vjs=3
29,Desenvolvedor Power Automate,Edesoft,"São Paulo, SP",,PostedHoje,2022-05-06,"Conhecimento em : Microsoft Power Platform , Javascript, Plugins de ações personalizadas,Microsoft Dataverse, Gateways,Http, Json, HTML, OData, Azure,BI.",https://www.br.indeed.com/rc/clk?jk=474e0d099bdc05c7&fccid=5dea46f48bdafb60&vjs=3
30,Finnet,Finnet,"Home office in São Paulo, SP",,Postedhá 9 dias,2022-05-06,"Todo dia, quando chegamos à Finnet, não queremos apenas trabalhar.Conhecimentos em alguma dessas tecnologias de front (React (NextJS) VUE (NuxtJS), Sass, Html,…",
31,IBM,IBM,"São Paulo, SP",,PostedHoje,2022-05-06,"To think along with clients and sell.This role specializes in performing remote technical support of MQ and MQ Appliance, skills with Linux/Unix and Windows…",
32,Vagas de emprego: StartSe,StartSe,"São Paulo, SP",,Postedhá 7 dias,2022-05-06,"Se você consegue aprender rápido, possui um raciocínio lógico que deixaria o Mestre Yoda com inveja, aqui é o seu lugar.Então venha fazer parte do nosso time.",
33,Vagas de emprego: Somosotech IT Co Limited,Somosotech IT Co Limited,"Home office temporário in São Paulo, SP",R$ 6.500 - R$ 8.000 por mês,PostedHoje,2022-05-06,"We are* looking for a *UX/UI Designer, who is super familiar with WordPress* to turn our websites and plugins into easy-to-use products for our clients.",
34,Class Solutions,Class Solutions,"São Paulo, SP",,Postedhá 30 dias,2022-05-06,"Atuará em atividades de Desenvolvimento de Soluções de Tecnologia da Informação, implementando aplicativos de Celular e Computadores via Microsoft PowerApps,…",
35,Vagas de emprego: Innolevels,Innolevels,"São Paulo, SP",R$ 8.000 - R$ 9.700 por mês,EmployerAtiva 2 dias atrás,2022-05-06,"Se você conhece ou deseja aprendizado em computação em Cloud/Nuvem, criação de microserviços, Rest, SOAP e API Managers/API Gateways, Integração de Design…",
36,Vagas de emprego: 2RP Net,2RP Net,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Alguma linguagem de programação (C, Java, C#, PHP, etc);Outras linguagens e tecnologias (PHP, C#, Java, Python, Node.js, Golang, etc);",
37,Vagas de emprego: Martin Luz,Martin Luz,"Home office in São Paulo, SP",R$ 3.500 - R$ 4.000 por mês,PostedHoje,2022-05-06,"Contribuir com o desenvolvimento de um novo produto, basicamente do zero;Sempre procuram aprender mais sobre tecnologia;",
38,Santander,Santander,"São Paulo, SP",,PostedHoje,2022-05-06,"Anl Tecnologia e Operações + SAO PAULO, Brazil WHAT YOU WILL BE DOING Responsabilidades e atribuições - Responsável pela parametrização e homologação das…",
39,Vagas de emprego: ATTA BR,ATTA BR,"Home office in São Paulo, SP",R$ 2.500 - R$ 6.000 por mês,EmployerAtiva 2 dias atrás,2022-05-06,"Linguagens e tecnologias: Java, Mysql, CSS, HTML, Javascript.",
40,Vagas de emprego: Bomtrato,Bomtrato,"Home office in São Paulo, SP",,Postedhá 28 dias,2022-05-06,Buscamos pessoas no início ou em transição de carreira na área de desenvolvimento de sistemas com vontade de aprender e crescer junto com o nosso time.,
