,vaga,empresa,localização,salário,requisitos
184,Analista Pleno BI,Enext,"Home office in São Paulo, SP",,Atenderá tanto demandas internas quanto demandas dos clientes da empresa.Conhecimento avançado em Microsoft Power BI e Google Data Studio.
185,Tech Lead | Remoto,Azos,"Home office in São Paulo, SP",,Liderança do nosso time de desenvolvimento (back e front end);Acompanhar as entregas do time de desenvolvimento junto com o time de Design e Produto;
186,PYTHON SÊNIOR,Hexacta,"São Paulo, SP",,"Azure Devops: pipeline, boards (sprint).Flask, Rancher, Kubernetes, DMS, ElasticSearch, Logstash, Java, Node, Angular, Scrum."
187,Quality Control Operations Assistant,Gympass,"São Paulo, SP",,Definition and execution of a continuous improvement process in our marketplace.Monitor metrics and proactively surface insights to the leadership team.
188,Anl Marketing III,Santander,"São Paulo, SP",,"Tecnologias de Big Data (Haddop, Spark e Hive, Impala).Conhecimento em metodologias de pesquisas de mercado."
189,Software Engineer - Observability (Python/Go/Kubernetes),Canonical - Jobs,"São Paulo, SP",,"The monitoring stack will be opinionated, resilient, and scalable, providing deep insights out of the box.The user experience will be polished and seamless for…"
190,Business Intern,SumUp,"São Paulo, SP",,Support business projects in a cross-cultural environment.Optimize processes and analyze automation potentials.Coordinate tasks in a cross-functional team.
191,QA Backend,Tech Mahindra,"São Paulo, SP",,"Nós realmente acreditamos que a tecnologia torna isso possível, mas são as pessoas que fazem isso acontecer."
192,Principal Data Insights Full-Stack Python Engineer (Brazil),Cloudbeds,"Home office in São Paulo, SP",,Provide flexibility in working hours and locations;You will wield your expertise in web application software and leverage many years of hospitality data to…
193,Engenheiro de Dados,C&A,"Home office in Barueri, SP",,Experiência na criação e manutenção de pipelines de transformação de dados (ETL);
194,"Software Engineer - Golang, Python, Android - Anbox Cloud",Canonical - Jobs,"São Paulo, SP",,"The successful candidate will work with a dedicated team on the development and maintenance of our software stack in Go and Python, and help customers integrate…"
195,Sanar,Sanar,"Home office in São Paulo, SP",,"O time de dados tem como objetivo tornar a Sanar uma empresa mais assertiva e eficiente através de decisões cada vez melhores, seja por estarmos mais embasados…"
196,Vagas de emprego: Innolevels,Innolevels,"São Paulo, SP",R$ 8.000 - R$ 9.900 por mês,"Tecnologias de big data da AWS (Redshift, S3, EMR, Python, Spark, lambda);Construção / operação de sistemas distribuídos para extração, ingestão e…"
197,Accenture,Accenture,"São Paulo, SP",,"Net (C#, Core e Framework), Java (Spring Boot, Spring, Quarkus), Python ou em NodeJS / TypeScript;Conhecimentos em boas práticas de desenvolvimento e design…"
198,Vagas de emprego: OEmprego,OEmprego,"Home office in São Paulo, SP",,Possuir familiaridade com metodologias ágeis;Conhecimento de Javascript e tecnologias web mais recentes (Python);
199,MetLife,MetLife,"São Paulo, SP",,O mercado de seguros de pessoas no Brasil está em franco crescimento e a MetLife é uma das empresas que está liderando esse movimento.
200,Vagas de emprego: Vem Pra Vivo,Vem Pra Vivo,"São Paulo, SP",,Conhecimento e experiência com programação Python e outros;Conhecimento e experiência com bancos de dados SQL e outros;Veja o que ofereceremos* para você:
201,Google,Google,"Home office in São Paulo, SP",,"Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.Experience working in one or more of the following:…"
202,Vivo Digital,Vivo Digital,"São Paulo, SP",,Criação de de rotinas (scripts) para tratamento massivo de cenários conhecidos;Acompanhamento de indicadores operacionais para validação de nível de serviço;
203,Vagas de emprego: Unlimint,Unlimint,"São Paulo, SP",,"Installing, configuring, and updating operating systems and software.Installation of network infrastructure equipment, including cable systems, trunk…"
204,Vagas de emprego: Visagio,Visagio,"São Paulo, SP",,"Desenvolver e implantar soluções baseados em Machine Learning, Otimização, Simulação, entre outros;Preferível experiência em atividades extracurriculares (ex:…"
205,Vagas de emprego: dataRain Consulting - Careers,dataRain Consulting - Careers,"São Paulo, SP",,"A dataRain Consulting, empresa de Computação em Nuvem, Advanced Consulting Partner da Amazon Web Services (AWS) e Public Sector Partner of the Year 2021 está…"
206,IQVIA,IQVIA,"São Paulo, SP",,"Capacidade de planejar, construir e executar soluções de gerenciamento de informações de classe empresarial em uma variedade de tecnologias (por exemplo, big…"
207,Vagas de emprego: Inklua Servicos Para Inclusao de Pcd Ltda,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in São Paulo, SP",R$ 3.100 - R$ 5.000 por mês,SQL Server e SSDT (Obrigatório).
208,Porto Seguro,Porto Seguro,"Home office in São Paulo, SP",,Experiência na definição e especificação de projetos de Tech com foco na arquitetura dos sistemas;Conhecimento e atuação prévia em soluções implementadas na…
209,Creditas,Creditas,"Home office in São Paulo, SP",,"Nosso time de Product Technology.Com foco na criação da melhor e mais personalizada experiência para clientes da Creditas, o time de Product Technology é…"
210,Whirlpool Corporation,Whirlpool Corporation,"Home office in São Paulo, SP",,Nossos valores são a força motriz por trás de tudo o que fazemos.Responsável por ser o(a) Data Scientist de uma equipe multidisciplinar;
211,Vagas de emprego: TikTok,TikTok,"São Paulo, SP",,"Define and execute Resso user operation strategy, including but not limited to user growth, engagement, campaign, communication, etc."
212,Vagas de emprego: Jobbol,Jobbol,"Home office in São Paulo, SP",,"É oferecido contrato Home Office, Plano Médico / Plano Odontológico / Vale Refeição /."
213,Vagas de emprego: Centro de Excelência Votorantim BR,Centro de Excelência Votorantim BR,"São Paulo, SP",,"Buscamos por Analista de Auditoria Interna para integrar o time do Sykn, um produto criado dentro do Centro de Excelência Votorantim."
214,Curriculum.com.br,Curriculum.com.br,"Home office in São Paulo, SP",,Desenvolvedor Python. Requisitos necessários para esse novo desafio: Desenvolvimento Python APIs (REST / SOAP); Integração Continua; Escrever testes (Unitários…
215,Vagas de emprego: GeekHunter,GeekHunter,"Home office in São Paulo, SP",R$ 12.000 - R$ 14.000 por ano,"A empresa é a solução completa de Distribuição, Marketing e Inteligência para o mercado hoteleiro.Porque trabalhamos com o Mundo;"
216,Vagas de emprego: Keyrus Brazil,Keyrus Brazil,"São Paulo, SP",,Desempenhar papel de liderança no time.Conhecimento em Python e Azure.
217,Vagas de emprego: Inventa,Inventa,"São Paulo, SP",,"Focar em fazer o que o cliente precisa que seja feito.Microsoft Excel e/ou Google Sheets avançado.Familiaridade com ferramentas de CRM, como Zendesk e Zoho."
218,Vagas de emprego: Axonius,Axonius,"São Paulo, SP",,"Axonius is the cybersecurity asset management platform that gives organizations a comprehensive asset inventory, uncovers gaps, and automatically validates and…"
219,Vagas de emprego: Platform Builders,Platform Builders,"Home office in São Paulo, SP",,"Infrastructure as Code ( e.g Terraform, Cloud Formation );Cloud Computing ( e.g AWS, GCP, Azure);Containers, Microservices Environments ( e.g Openshift,…"
220,will bank,will bank,"Home office in São Paulo, SP",,"Graduação em Matemática, Estatística, Engenharia, Computação, Economia, Administração ou áreas afins;Gympass - Plataforma com foco na qualidade de vida,…"
221,IAV do Brasil,IAV do Brasil,"São Paulo, SP",,"Desenvolvimento, implementação, calibração e validação de novos recursos para controles de sistemas em veículos híbridos e elétricos;"
222,PagBank PagSeguro,PagBank PagSeguro,"São Paulo, SP",,"No Pags todas as pessoas são bem-vindas , sem distinção de gênero, orientação sexual, etnia, cultura, religião, deficiência etc."
223,Vagas de emprego: Amplifica Digital,Amplifica Digital,"São Paulo, SP",,Somos uma agência de marketing digital especializada em campanhas de performance.Elaborar reports e dashboards para facilitar a tomada de decisão de campanhas…
224,Ame Digital,Ame Digital,"São Paulo, SP",,"Experiência em ferramentas de BI (Power BI, Tableau, Data Studio), plataforma cloud;Conhecimento avançado em linguagem de programação R, Python, SAS, SQL;"
